id,V1_sex,V4_area_origin,V6_province,V8_age,V9_age_at_program_end,V11_criminal_record,V12_n_criminal_record,V13_n_crime_cat,V15_main_crime_cat,V16_violent_crime,V17_crime_classification,V19_committed_crime,V20_n_juvenile_records,V21_n_crime,V23_territory_of_execution,V24_finished_program,V26_finished_measure_grouped,V27_program_duration_cat,V28_days_from_crime_to_program,V29_program_duration,V115_RECID2015_recid,V10_date_of_birth_year,V10_date_of_birth_month,V22_main_crime_date_year,V22_main_crime_date_month,V30_program_start_year,V30_program_start_month,V31_program_end_month
1205,0,2,3,16,16,1,0,0,0,1,1,1,1.0,3,3,0,0,0,125.0,86,1,1993,10,2010,3,2010,7,9
2418,0,0,1,15,19,1,2,1,0,1,0,1,18.0,2,2,0,0,2,914.0,657,1,1991,3,2006,6,2008,12,10
3129,0,0,1,15,20,1,2,0,0,1,1,1,6.0,12,1,0,0,2,83.0,1750,1,1990,11,2005,12,2006,3,12
39,0,0,1,17,18,1,2,0,0,1,1,1,8.0,8,1,0,0,1,240.0,268,1,1991,7,2008,11,2009,7,4
1312,0,0,2,14,16,1,0,1,0,1,0,1,2.0,2,2,1,1,1,379.0,213,1,1994,6,2009,4,2010,5,12
4241,0,0,1,17,19,1,0,1,0,1,0,1,2.0,2,1,1,1,0,612.0,119,1,1991,1,2008,8,2010,4,8
2514,0,0,1,17,19,1,0,2,0,1,0,1,2.0,1,1,5,3,1,497.0,220,1,1990,10,2008,9,2010,2,9
2163,0,1,1,16,16,1,0,2,0,1,1,1,2.0,1,1,2,2,0,69.0,15,1,1994,1,2010,2,2010,5,5
2745,0,0,1,16,17,1,0,1,0,1,1,1,2.0,2,1,2,2,0,56.0,55,1,1993,4,2010,2,2010,4,5
4088,1,0,1,16,16,1,0,1,0,1,1,1,1.0,2,1,2,2,0,91.0,6,1,1994,2,2010,9,2010,12,12
670,0,0,3,15,15,1,0,1,0,1,1,2,1.0,2,3,0,0,1,90.0,208,1,1994,9,2009,10,2010,1,8
501,0,2,3,17,19,1,0,1,0,1,1,2,2.0,2,1,0,0,2,635.0,425,1,1990,6,2007,6,2009,3,5
4147,1,2,1,17,17,1,0,2,0,1,1,2,1.0,1,1,0,0,0,91.0,30,1,1992,10,2009,11,2010,2,3
2090,0,2,1,15,17,1,1,1,0,1,1,2,4.0,2,1,0,0,0,468.0,119,1,1992,12,2008,8,2009,11,3
3749,0,0,0,16,17,1,1,1,0,1,1,2,4.0,2,1,0,0,0,178.0,121,1,1993,1,2009,6,2009,12,4
790,0,0,3,16,17,1,0,0,0,1,1,2,1.0,6,3,1,1,0,284.0,166,1,1993,3,2009,5,2010,2,8
1535,0,0,1,17,19,1,0,0,0,1,1,2,1.0,3,1,1,1,1,280.0,238,1,1991,7,2009,2,2009,12,7
3141,0,2,1,17,17,1,0,2,0,1,1,2,1.0,1,1,2,2,0,71.0,48,1,1993,2,2010,5,2010,7,9
3516,0,1,1,17,18,1,0,0,0,1,1,3,2.0,4,1,0,0,0,297.0,89,1,1992,1,2009,8,2010,6,9
4208,0,1,1,15,17,1,1,0,0,1,1,3,5.0,10,1,0,0,1,318.0,209,1,1993,4,2008,11,2009,10,4
4667,0,1,1,17,19,1,1,0,0,1,1,3,4.0,3,1,0,0,0,640.0,58,1,1990,8,2008,6,2010,3,5
1144,0,2,2,15,17,1,2,0,0,1,1,3,11.0,4,2,0,0,2,322.0,537,1,1992,11,2008,5,2009,4,9
3674,0,2,1,15,16,1,2,2,0,1,1,3,7.0,1,1,0,0,0,144.0,97,1,1993,10,2009,10,2010,3,6
1808,0,2,1,17,20,1,2,0,0,1,1,3,7.0,4,1,0,0,0,841.0,179,1,1990,2,2007,8,2009,12,6
3765,0,0,1,17,20,1,2,1,0,1,1,3,8.0,2,1,1,1,2,466.0,533,1,1990,8,2008,3,2009,6,12
2351,0,1,1,16,18,1,2,0,0,1,1,3,6.0,3,1,1,1,2,234.0,731,1,1992,1,2008,3,2008,10,10
3773,0,1,1,17,17,1,2,1,0,1,1,3,14.0,2,1,2,2,0,49.0,28,1,1992,8,2010,5,2010,6,7
2633,0,1,1,16,17,1,2,2,0,1,1,3,7.0,1,1,2,2,0,33.0,37,1,1993,2,2010,1,2010,2,3
3230,0,2,1,15,19,1,1,0,0,1,1,4,3.0,3,1,0,0,2,850.0,543,1,1991,1,2006,5,2008,9,2
3967,0,2,1,16,17,1,0,1,0,1,1,4,2.0,2,1,1,1,1,215.0,335,1,1992,5,2008,8,2009,3,2
204,0,0,1,16,16,1,1,2,0,1,1,2,4.0,1,1,2,2,0,26.0,0,1,1993,10,2010,6,2010,7,7
3556,0,2,1,17,19,1,0,1,1,1,1,5,1.0,2,1,0,0,1,423.0,363,1,1991,2,2008,5,2009,7,7
2581,0,1,1,14,16,1,1,1,1,1,1,5,5.0,2,1,0,0,0,402.0,122,1,1994,7,2009,3,2010,5,9
3158,0,1,1,14,16,1,1,2,1,1,1,5,4.0,1,1,0,0,1,272.0,237,1,1994,3,2009,1,2009,9,5
2614,0,2,1,15,18,1,1,0,1,1,1,5,4.0,7,1,0,0,2,448.0,740,1,1992,3,2007,7,2008,10,10
1853,0,3,1,15,17,1,1,2,1,1,1,5,4.0,1,1,0,0,1,348.0,268,1,1993,11,2009,3,2010,2,11
2420,0,0,1,17,18,1,1,1,1,1,1,5,3.0,2,1,6,0,0,458.0,148,1,1991,3,2008,7,2009,10,3
3057,0,1,1,17,18,1,2,2,1,1,1,5,6.0,1,1,0,0,0,180.0,59,1,1992,3,2009,11,2010,5,7
2073,0,0,2,16,18,1,0,1,1,1,1,5,1.0,2,2,1,1,2,264.0,370,1,1991,11,2008,10,2009,7,7
2671,0,2,1,15,18,1,1,2,1,1,1,5,4.0,1,1,1,1,2,238.0,809,1,1992,6,2008,1,2008,9,12
3569,1,0,1,15,20,1,2,0,1,1,1,5,6.0,4,1,1,1,2,1321.0,538,1,1989,12,2005,4,2008,12,5
4425,0,1,1,15,15,1,1,2,1,1,1,5,4.0,1,1,2,2,0,188.0,7,1,1994,6,2009,12,2010,6,6
3334,0,1,1,14,15,1,2,2,1,1,1,5,7.0,1,1,2,2,0,150.0,14,1,1994,12,2009,8,2010,1,2
4441,0,1,1,15,15,1,0,2,1,1,1,5,1.0,1,1,2,2,0,136.0,35,1,1994,5,2009,10,2010,2,3
4645,0,0,1,14,15,1,1,2,1,1,1,5,4.0,1,1,2,2,0,407.0,3,1,1994,5,2009,1,2010,3,3
2436,0,0,1,16,16,1,1,1,1,1,1,5,3.0,2,1,2,2,0,218.0,19,1,1993,5,2009,6,2010,1,2
4101,0,1,1,16,16,1,1,1,1,1,1,5,5.0,2,1,2,2,0,26.0,15,1,1993,4,2010,2,2010,3,3
4670,0,0,1,15,16,1,2,2,1,1,1,5,6.0,1,1,2,2,0,258.0,49,1,1993,7,2009,5,2010,2,4
2378,0,1,1,15,16,1,2,2,1,1,1,5,6.0,1,1,2,2,0,63.0,20,1,1994,1,2009,11,2010,1,2
1066,0,0,1,17,18,1,2,2,1,1,1,5,11.0,1,1,2,2,0,363.0,6,1,1991,8,2009,4,2010,4,4
3326,0,2,1,14,15,1,0,1,1,1,1,6,1.0,2,1,0,0,1,170.0,189,1,1995,8,2009,8,2010,2,8
366,0,0,3,16,19,1,1,1,1,1,1,6,3.0,2,3,0,0,2,762.0,389,1,1991,9,2007,10,2009,11,12
2815,0,1,1,17,18,1,1,0,1,1,1,6,5.0,4,1,0,0,2,144.0,456,1,1992,1,2009,2,2009,7,10
3699,0,1,1,16,18,1,1,2,1,1,1,6,3.0,1,1,0,0,1,535.0,343,1,1992,1,2008,1,2009,7,6
387,0,1,3,16,17,1,1,0,1,1,1,6,5.0,6,3,0,0,0,194.0,174,1,1992,8,2009,8,2010,2,8
4758,0,1,1,16,17,1,1,0,1,1,1,6,4.0,3,1,0,0,2,144.0,365,1,1992,12,2009,2,2009,7,7
1043,0,0,1,14,16,1,2,2,1,1,1,6,6.0,1,1,0,0,0,430.0,149,1,1994,7,2009,5,2010,7,12
1368,0,0,3,15,18,1,2,0,1,1,1,6,11.0,7,3,0,0,2,621.0,479,1,1991,7,2007,1,2008,10,1
3669,0,2,1,15,16,1,2,2,1,1,1,6,10.0,1,1,0,0,1,137.0,183,1,1994,3,2009,5,2009,10,4
44,0,0,1,16,18,1,2,2,1,1,1,6,20.0,1,1,0,0,0,477.0,179,1,1991,8,2008,6,2009,9,3
2029,0,4,2,17,18,1,2,2,1,1,1,6,12.0,1,2,0,0,0,259.0,149,1,1991,4,2009,2,2009,10,3
3733,0,1,1,16,18,1,2,2,1,1,1,6,22.0,1,1,0,0,0,578.0,106,1,1992,5,2008,10,2010,5,8
2864,0,2,1,16,18,1,2,1,1,1,1,6,7.0,2,1,0,0,0,298.0,179,1,1992,4,2009,1,2009,11,5
3513,0,0,1,14,17,1,0,1,1,1,1,6,2.0,2,1,1,1,1,875.0,364,1,1993,2,2007,4,2009,9,9
1399,0,0,1,17,19,1,0,2,1,1,1,6,2.0,1,1,1,1,2,361.0,382,1,1990,4,2008,3,2009,3,3
2965,0,1,1,16,19,1,1,2,1,1,1,6,5.0,1,1,1,1,1,428.0,363,1,1991,2,2008,1,2009,3,3
432,0,2,3,16,16,1,0,2,1,1,1,6,1.0,1,3,2,2,0,98.0,0,1,1993,8,2010,3,2010,6,7
1140,1,0,1,17,17,1,1,2,1,1,1,6,4.0,1,3,2,2,0,20.0,0,1,1993,3,2010,4,2010,4,4
4646,0,1,1,17,18,1,1,2,1,1,1,6,5.0,1,1,2,2,0,230.0,28,1,1991,6,2009,5,2009,12,1
4787,0,2,1,16,17,1,1,2,1,1,1,6,3.0,1,1,2,2,0,189.0,18,1,1993,8,2010,4,2010,10,11
4731,0,1,1,16,17,1,2,2,1,1,1,6,7.0,1,1,2,2,0,447.0,0,1,1992,7,2008,11,2010,1,1
4778,0,2,1,16,16,1,0,2,1,1,1,7,1.0,1,1,0,0,0,126.0,53,1,1993,9,2010,3,2010,7,8
4107,0,1,1,17,17,1,1,1,1,1,1,7,3.0,2,1,0,0,0,174.0,37,1,1992,11,2010,3,2010,9,10
3982,0,0,1,15,16,1,0,2,1,1,1,7,1.0,1,1,1,1,1,374.0,296,1,1993,6,2008,6,2009,7,4
1767,0,0,1,14,16,1,1,1,1,1,1,7,3.0,2,1,1,1,1,506.0,359,1,1993,8,2008,1,2009,6,6
3049,0,1,1,17,18,1,0,2,1,1,1,7,2.0,1,1,2,2,0,328.0,30,1,1991,4,2009,3,2010,2,3
3088,0,2,1,16,17,1,1,0,1,0,1,8,3.0,3,1,0,0,0,112.0,97,1,1993,2,2009,8,2009,12,3
2085,0,1,2,16,18,1,2,2,1,0,1,8,6.0,1,2,0,0,1,348.0,298,1,1991,9,2008,4,2009,4,1
4557,0,0,1,16,18,1,0,2,1,0,1,8,1.0,1,1,1,1,2,384.0,365,1,1992,6,2008,9,2009,9,9
3696,0,0,1,17,19,1,0,2,1,0,1,8,2.0,1,1,1,1,1,309.0,359,1,1991,1,2008,9,2009,7,7
252,0,0,1,15,17,1,1,2,1,0,1,8,5.0,1,2,1,1,2,206.0,645,1,1993,1,2008,1,2008,8,5
1403,0,4,0,14,17,1,1,2,1,0,1,8,4.0,1,0,1,1,2,511.0,535,1,1993,1,2007,9,2009,2,8
1739,0,1,2,17,20,1,2,2,1,0,1,8,25.0,1,2,1,1,2,455.0,748,1,1990,6,2007,7,2008,10,10
2235,0,1,1,15,16,1,2,2,1,0,1,8,18.0,1,1,2,2,0,55.0,66,1,1994,1,2009,10,2009,11,2
4766,0,0,1,17,17,1,1,1,1,0,1,8,5.0,2,1,2,2,0,79.0,0,1,1992,8,2010,2,2010,5,5
3010,0,1,1,16,16,1,1,2,1,0,1,8,5.0,1,1,2,2,0,36.0,26,1,1994,3,2010,5,2010,6,7
3635,0,0,1,15,16,1,2,1,1,0,1,8,8.0,2,1,2,2,0,64.0,27,1,1994,3,2010,2,2010,4,5
4134,0,0,1,17,18,1,2,2,1,0,1,8,6.0,1,1,7,5,1,270.0,275,1,1991,12,2008,12,2009,9,6
817,0,0,0,14,16,1,2,1,1,0,1,9,7.0,2,0,0,0,0,445.0,178,1,1994,5,2008,11,2010,2,8
4295,1,4,2,16,17,1,2,2,1,0,0,9,17.0,1,1,8,0,0,365.0,8,1,1992,5,2009,2,2010,2,2
3824,0,3,1,15,17,1,0,2,1,0,0,9,1.0,1,1,1,1,1,242.0,195,1,1993,12,2009,10,2010,6,12
2563,0,0,1,16,18,1,2,2,1,0,0,9,7.0,1,1,1,1,0,498.0,121,1,1992,3,2008,10,2010,2,6
2515,0,2,1,16,17,1,1,2,1,0,0,9,4.0,1,1,2,2,0,88.0,18,1,1992,12,2009,11,2010,1,2
4707,0,2,1,15,15,1,2,0,1,0,1,9,7.0,4,1,2,2,0,105.0,56,1,1994,10,2010,1,2010,4,6
3936,0,0,1,17,18,1,0,2,1,0,0,9,2.0,1,1,2,2,0,151.0,33,1,1991,9,2009,8,2010,1,2
2773,0,0,1,16,16,1,1,2,1,0,0,9,5.0,1,1,2,2,0,52.0,47,1,1993,10,2010,1,2010,3,5
1173,0,0,0,16,16,1,1,2,1,0,1,9,5.0,1,0,2,2,0,27.0,21,1,1993,5,2010,1,2010,2,3
2038,0,1,2,17,20,1,1,2,1,0,0,9,3.0,1,2,4,4,2,531.0,377,1,1990,4,2007,12,2009,6,6
2640,0,2,1,16,17,1,1,2,1,0,1,9,5.0,1,1,2,2,0,187.0,33,1,1993,2,2010,1,2010,7,8
1514,0,1,3,14,17,1,2,2,1,0,1,9,7.0,1,1,3,3,2,548.0,370,1,1992,11,2007,10,2009,4,4
4749,0,2,1,16,16,1,2,2,1,0,0,9,7.0,1,1,2,2,0,71.0,98,1,1993,8,2010,3,2010,5,8
4802,0,0,1,14,16,1,0,0,1,0,1,10,1.0,3,1,1,1,1,485.0,269,1,1994,8,2008,11,2010,3,12
1487,0,0,2,14,17,1,2,2,1,0,1,10,6.0,1,2,1,1,2,574.0,409,1,1992,9,2007,5,2008,12,1
4689,0,0,1,17,17,1,2,2,1,0,1,10,19.0,1,1,2,2,0,123.0,41,1,1992,6,2010,1,2010,5,6
1476,0,0,0,17,19,1,1,2,1,0,1,10,5.0,1,0,4,4,0,720.0,44,1,1990,8,2008,6,2010,6,7
2500,0,2,1,16,19,1,1,0,1,0,1,10,4.0,5,1,3,3,2,697.0,398,1,1990,12,2007,6,2009,5,6
4518,0,0,1,17,18,1,2,2,1,0,1,10,11.0,1,1,2,2,0,375.0,0,1,1991,8,2009,4,2010,5,5
295,0,0,3,15,16,1,1,2,2,0,0,11,5.0,1,3,1,1,0,366.0,150,1,1994,6,2009,7,2010,7,12
2066,0,1,1,15,17,1,2,2,2,0,1,12,12.0,1,1,0,0,0,685.0,89,1,1992,4,2008,2,2009,12,3
1300,0,4,3,16,17,1,2,2,2,0,1,12,7.0,1,3,2,2,0,85.0,3,1,1993,2,2009,12,2010,3,3
2329,0,0,1,16,17,1,0,1,2,0,1,13,2.0,2,1,1,1,0,486.0,148,1,1993,1,2009,3,2010,7,12
2447,0,0,1,16,17,1,2,2,2,0,1,13,8.0,1,1,2,2,0,152.0,14,1,1992,9,2009,8,2010,1,2
848,0,0,3,16,17,1,0,1,2,0,1,14,1.0,2,3,1,1,0,188.0,149,1,1993,6,2009,11,2010,5,10
2604,0,1,3,16,17,1,0,2,2,0,1,15,2.0,1,1,2,2,0,82.0,7,1,1993,3,2009,12,2010,3,3
3884,0,1,1,14,16,1,2,1,2,0,1,16,12.0,2,1,1,1,2,441.0,545,1,1993,4,2007,6,2008,8,2
4539,0,2,1,15,18,1,1,1,2,0,1,16,3.0,2,1,9,3,0,1025.0,40,1,1991,9,2007,4,2010,2,3
674,0,0,0,14,17,1,1,2,2,0,1,17,4.0,1,0,1,1,1,763.0,269,1,1992,12,2007,8,2009,9,6
3532,0,2,1,14,15,1,1,2,2,0,0,17,3.0,1,1,2,2,0,185.0,1,1,1995,1,2009,8,2010,2,2
4564,0,0,1,17,18,1,0,2,2,0,0,17,1.0,1,1,7,5,0,143.0,64,1,1992,12,2010,5,2010,10,12
885,0,2,2,15,15,1,1,2,2,0,0,17,3.0,1,0,2,2,0,256.0,22,1,1994,3,2009,5,2010,2,2
407,0,0,0,17,17,1,2,2,2,0,0,17,6.0,1,0,2,2,0,25.0,4,1,1992,6,2010,5,2010,5,6
1398,0,1,1,17,21,1,2,2,2,0,1,18,7.0,1,1,1,1,1,1274.0,364,1,1989,1,2006,2,2009,7,7
396,0,0,3,15,16,1,0,2,2,0,1,19,1.0,1,3,1,1,1,240.0,180,1,1994,5,2009,6,2010,2,8
1601,0,2,1,16,19,1,1,2,2,0,1,19,5.0,1,1,3,3,1,726.0,213,1,1990,10,2007,10,2009,9,4
1253,0,0,3,17,19,1,2,0,2,0,1,19,9.0,3,3,3,3,1,290.0,350,1,1990,7,2008,7,2009,4,4
635,0,1,2,17,17,1,2,2,2,0,1,19,9.0,1,2,2,2,0,94.0,47,1,1992,9,2009,9,2009,12,2
2348,0,1,1,16,18,1,0,1,0,1,1,0,2.0,2,1,1,1,1,406.0,298,1,1991,4,2008,3,2009,4,2
1451,0,2,1,17,18,1,1,0,0,1,1,0,4.0,3,1,2,2,0,54.0,94,1,1992,10,2010,5,2010,7,10
3203,0,0,1,17,18,1,2,2,0,1,1,0,9.0,1,1,2,2,0,387.0,41,1,1991,6,2009,1,2010,2,3
4623,0,4,1,16,16,1,2,2,0,1,0,0,27.0,1,1,2,2,0,29.0,36,1,1993,9,2009,12,2010,1,3
2327,1,0,1,14,16,1,0,2,0,1,0,1,1.0,1,1,1,1,0,322.0,118,1,1994,7,2009,5,2010,4,8
609,0,0,1,17,18,1,0,0,0,1,1,2,1.0,3,1,0,0,0,186.0,82,1,1992,3,2009,11,2010,6,8
2743,1,0,1,16,19,1,0,2,0,1,1,2,2.0,1,1,5,3,1,477.0,278,1,1991,8,2008,8,2009,11,9
3386,0,1,1,15,16,1,0,0,0,1,1,4,1.0,3,1,0,0,0,287.0,141,1,1994,1,2009,8,2010,6,10
2354,0,2,1,15,16,1,0,1,0,1,1,4,1.0,2,1,1,1,1,119.0,359,1,1994,3,2009,4,2009,8,8
3435,0,0,1,14,15,1,0,0,0,1,1,2,1.0,4,1,0,0,0,169.0,50,1,1995,1,2009,11,2010,4,6
3449,0,2,1,16,16,1,1,2,0,1,1,2,3.0,1,1,2,2,0,32.0,22,1,1994,1,2010,9,2010,10,10
425,0,1,0,16,18,1,2,0,1,1,1,5,7.0,3,0,0,0,1,387.0,364,1,1991,5,2008,2,2009,3,3
2190,0,0,1,15,19,1,0,0,1,1,1,5,2.0,3,1,1,1,2,750.0,706,1,1991,5,2006,6,2008,7,6
2677,0,1,1,14,14,1,1,2,1,1,1,5,3.0,1,1,2,2,0,66.0,3,1,1996,2,2010,5,2010,7,7
4058,0,1,1,14,14,1,1,2,1,1,1,5,3.0,1,1,7,5,0,115.0,51,1,1995,9,2009,9,2010,1,3
1698,0,1,1,14,15,1,1,0,1,1,1,5,4.0,3,1,2,2,0,318.0,0,1,1994,12,2009,3,2010,1,1
4384,0,1,1,16,16,1,1,2,1,1,1,5,3.0,1,1,2,2,0,57.0,1,1,1993,5,2009,12,2010,2,2
3395,0,1,1,17,17,1,1,2,1,1,1,5,4.0,1,1,2,2,0,289.0,13,1,1992,6,2009,6,2010,4,4
1206,1,0,1,15,15,1,2,1,1,1,1,5,7.0,2,1,2,2,0,66.0,1,1,1995,1,2010,4,2010,6,6
3391,0,1,1,14,14,1,2,2,1,1,1,5,8.0,1,1,2,2,0,107.0,0,1,1995,5,2010,1,2010,4,4
2750,0,0,1,17,17,1,2,2,1,1,1,5,7.0,1,1,2,2,0,125.0,42,1,1992,4,2009,11,2010,3,4
4522,0,0,1,14,17,1,0,0,1,1,1,6,1.0,3,1,1,1,2,244.0,704,1,1993,5,2007,11,2008,7,6
2028,0,2,1,17,20,1,0,2,1,1,1,6,2.0,1,1,1,1,2,450.0,904,1,1989,8,2006,11,2008,1,7
590,0,0,3,16,16,1,1,2,1,1,1,6,3.0,1,3,2,2,0,59.0,4,1,1993,2,2009,12,2010,2,2
1795,0,0,3,17,19,1,2,0,1,1,1,7,7.0,5,3,0,0,1,363.0,358,1,1990,6,2008,5,2009,5,5
4818,0,0,1,14,15,1,1,1,1,1,1,7,4.0,2,1,1,1,1,205.0,238,1,1994,5,2008,11,2009,6,2
4340,0,0,1,15,18,1,0,1,1,0,1,8,2.0,2,1,1,1,2,441.0,508,1,1992,1,2007,10,2008,12,5
4712,0,4,1,16,19,1,0,2,1,0,1,8,1.0,1,1,1,1,1,843.0,269,1,1991,4,2007,8,2009,12,9
640,0,0,1,15,17,1,1,2,1,0,1,8,4.0,1,0,1,1,2,335.0,391,1,1993,5,2008,7,2009,6,7
4614,0,0,1,17,20,1,1,2,1,0,1,8,5.0,1,1,1,1,0,812.0,179,1,1990,3,2007,11,2010,2,8
836,0,0,0,17,21,1,1,2,1,0,1,8,5.0,1,0,1,1,2,1087.0,375,1,1988,5,2006,2,2009,2,2
915,0,0,1,17,17,1,1,2,1,0,1,8,4.0,1,1,2,2,0,93.0,13,1,1992,7,2010,1,2010,4,5
748,0,2,3,17,18,1,0,2,1,0,1,9,1.0,1,3,0,0,0,294.0,118,1,1992,2,2009,6,2010,4,8
4470,0,0,1,14,17,1,1,2,1,0,1,9,5.0,1,1,1,1,2,292.0,709,1,1993,4,2007,10,2008,7,7
438,1,4,3,17,19,1,2,2,1,0,0,9,15.0,1,3,1,1,1,543.0,180,1,1990,12,2008,3,2009,9,3
4607,0,0,1,17,17,1,2,2,1,0,0,9,12.0,1,1,2,2,1,41.0,193,1,1992,8,2009,10,2009,11,5
1617,0,2,1,16,17,1,0,1,1,0,1,9,2.0,2,1,2,2,0,93.0,0,1,1993,5,2010,4,2010,7,7
1624,0,1,1,14,14,1,1,2,1,0,0,9,3.0,1,1,2,2,0,43.0,11,1,1996,1,2010,6,2010,7,8
2713,0,0,1,17,17,1,1,2,1,0,1,9,3.0,1,1,2,2,0,141.0,11,1,1993,2,2010,5,2010,10,10
4642,1,4,1,17,18,1,1,2,1,0,1,9,4.0,1,1,2,2,0,74.0,36,1,1991,11,2009,11,2010,1,3
2201,0,0,1,17,18,1,2,2,1,0,0,9,6.0,1,1,7,5,0,144.0,75,1,1991,10,2009,6,2009,11,1
891,0,2,2,14,16,1,0,2,1,0,1,10,1.0,1,0,1,1,1,481.0,298,1,1994,3,2008,6,2009,10,8
1775,0,0,1,15,15,1,1,1,1,0,1,10,4.0,2,1,2,2,0,45.0,54,1,1994,9,2010,3,2010,5,7
4396,0,2,1,16,16,1,0,2,2,0,1,11,2.0,1,1,2,2,0,53.0,27,1,1993,3,2009,11,2010,1,2
4751,0,2,1,14,19,1,1,1,2,0,1,14,3.0,2,1,1,1,2,1006.0,639,1,1991,10,2006,6,2009,3,12
2043,1,4,1,16,16,1,2,2,2,0,0,16,12.0,1,1,2,2,0,40.0,25,1,1994,1,2010,1,2010,2,3
2934,0,1,1,15,15,1,1,2,2,0,0,17,3.0,1,1,2,2,0,52.0,0,1,1994,11,2010,5,2010,7,7
1047,0,2,1,16,17,1,0,2,2,0,1,19,1.0,1,1,1,1,1,304.0,208,1,1993,2,2009,5,2010,3,10
4572,0,2,1,17,19,1,0,2,2,0,1,19,1.0,1,1,4,4,0,523.0,55,1,1991,3,2008,9,2010,2,4
3945,0,0,1,17,18,1,2,2,2,0,1,19,7.0,1,1,7,5,0,276.0,105,1,1991,8,2009,4,2010,1,4
3903,0,0,1,17,19,1,1,0,0,1,1,0,3.0,3,1,0,0,2,91.0,684,1,1990,9,2008,1,2008,4,3
3794,0,0,1,16,19,1,0,0,0,1,1,0,1.0,6,1,1,1,2,401.0,743,1,1990,11,2007,6,2008,7,8
1001,0,2,2,16,18,1,0,1,0,1,1,0,1.0,2,2,1,1,2,417.0,392,1,1991,8,2008,4,2009,6,7
363,0,0,3,16,18,1,2,0,0,1,1,2,8.0,4,3,0,0,2,379.0,387,1,1991,12,2008,6,2009,7,8
1570,0,0,2,15,17,1,1,0,0,1,1,2,4.0,3,2,1,1,2,369.0,425,1,1992,9,2008,6,2009,6,8
1224,1,0,3,16,18,1,1,1,0,1,1,2,3.0,2,3,1,1,0,617.0,179,1,1991,11,2008,3,2009,12,6
4170,0,0,1,16,17,1,0,2,0,1,1,2,2.0,1,1,2,2,0,68.0,0,1,1993,6,2010,5,2010,7,7
127,0,0,2,17,19,1,1,0,0,1,0,3,5.0,3,2,1,1,1,390.0,208,1,1991,6,2009,1,2010,2,8
2525,0,1,1,16,18,1,1,0,1,1,1,5,3.0,3,1,0,0,0,539.0,88,1,1991,8,2008,8,2010,1,4
319,0,0,1,17,20,1,1,1,1,1,1,5,3.0,2,1,1,1,2,413.0,395,1,1990,10,2008,9,2009,11,12
211,0,0,2,14,18,1,0,1,1,0,1,8,1.0,2,2,1,1,2,943.0,390,1,1992,8,2007,3,2009,10,10
3727,0,0,1,17,20,1,1,2,1,0,1,8,4.0,1,1,1,1,1,915.0,235,1,1989,11,2006,12,2009,6,2
